test_name,class,iterations,total_time_ms,per_iter_ms,clean_exit,list_file
Old/factor.tst,A,334,8222,24,yes,Old/universal.lst
Old/fak.tst,A,233,7611,32,yes,Old/universal.lst
Old/fastelim.tst,FAIL,0,0,0,no,Old/universal.lst
Old/fetch.tst,A,34,8288,243,yes,Old/universal.lst
Old/firsts.tst,A,1000,696,0,yes,Old/universal.lst
Old/formmat.tst,A,1000,1465,1,yes,Old/universal.lst
Old/freemod.tst,A,1000,823,0,yes,Old/universal.lst
Old/generat.tst,A,1000,949,0,yes,Old/universal.lst
Old/gm.tst,A,63,8669,137,yes,Old/universal.lst
Old/h4.tst,A,250,8392,33,yes,Old/universal.lst
Old/hilb.tst,A,53,8215,155,yes,Old/universal.lst
Old/hilbert.tst,A,1000,1195,1,yes,Old/universal.lst
Old/homo.tst,A,1000,977,0,yes,Old/universal.lst
Old/idea.tst,A,1000,780,0,yes,Old/universal.lst
Old/ideal.tst,A,1000,911,0,yes,Old/universal.lst
Old/idealop.tst,A,1000,1042,1,yes,Old/universal.lst
Old/if.tst,A,1000,160,0,yes,Old/universal.lst
Old/imap.tst,A,1000,205,0,yes,Old/universal.lst
Old/index.tst,A,1000,1126,1,yes,Old/universal.lst
Old/initial.tst,A,1000,1006,1,yes,Old/universal.lst
Old/inoutlib.tst,A,500,2232,4,yes,Old/universal.lst
Old/integ.tst,A,1000,184,0,yes,Old/universal.lst
Old/integers.tst,A,1000,3,0,yes,Old/universal.lst
Old/interred.tst,A,1000,1001,1,yes,Old/universal.lst
Old/intersec.tst,A,1000,1878,1,yes,Old/universal.lst
Old/intmat.tst,A,1000,0,0,yes,Old/universal.lst
Old/intvec.tst,A,1000,0,0,yes,Old/universal.lst
Old/jacobi.tst,A,1000,1,0,yes,Old/universal.lst
Old/jet.tst,A,1000,694,0,yes,Old/universal.lst
Old/jett.tst,A,1000,1345,1,yes,Old/universal.lst
Old/kbas.tst,A,1000,1203,1,yes,Old/universal.lst
Old/kil.tst,A,1000,1,0,yes,Old/universal.lst
Old/koszul.tst,A,1000,7795,7,yes,Old/universal.lst
Old/lamm.tst,A,197,4255,21,yes,Old/universal.lst
Old/lif.tst,A,1000,1561,1,yes,Old/universal.lst
Old/liftstan.tst,A,1000,1,0,yes,Old/universal.lst
Old/liste.tst,A,1000,1054,1,yes,Old/universal.lst
Old/lists.tst,A,1000,754,0,yes,Old/universal.lst
Old/longalg.tst,A,834,13,0,yes,Old/universal.lst
Old/lpowers.tst,A,1000,504,0,yes,Old/universal.lst
Old/m100si.tst,A,1000,50,0,yes,Old/universal.lst
Old/m101si.tst,A,1000,104,0,yes,Old/universal.lst
Old/m102si.tst,A,1000,47,0,yes,Old/universal.lst
Old/m103si.tst,A,1000,68,0,yes,Old/universal.lst
